Chunks,NLTK,spaCy,NLTK U spaCy,No_Names
"ies whom the
knight will wake one day when all the stopped spits in the kitchen
shall begin to turn prodigiously

It is not a large world Relatively even to this world of ours which
has its limits too as your Highness shall find when you have made
the tour of it and are come to the brink of the void beyond it is a
very little speck There is much good in it there are many good and
true people in it it has its appointed place But the evil of it is
that it is a world wrapped up in too much jeweller",F,F,F,True
" without hills but would be done up without Dedlocks He would on
the whole admit nature to be a good idea a little low perhaps when
not enclosed with a parkfence but an idea dependent for its
execution on your great county families He is a gentleman of strict
conscience disdainful of all littleness and meanness and ready on
the shortest notice to die any death you may please to mention rather
than give occasion for the least impeachment of his integrity He is
an honourable obstinate truthful hig",F,F,F,True
"ffled by interest or satisfaction are the
trophies of her victory She is perfectly wellbred If she could be
translated to heaven tomorrow she might be expected to ascend
without any rapture

She has beauty still and if it be not in its heyday it is not yet
in its autumn She has a fine faceoriginally of a character that
would be rather called very pretty than handsome but improved into
classicality by the acquired expression of her fashionable state Her
figure is elegant and has the effect of bei",F,F,F,True
"ure for Paris where her ladyship intends to stay some weeks
after which her movements are uncertain And at her house in town
upon this muddy murky afternoon presents himself an oldfashioned
old gentleman attorneyatlaw and eke solicitor of the High Court of
Chancery who has the honour of acting as legal adviser of the
Dedlocks and has as many castiron boxes in his office with that name
outside as if the present baronet were the coin of the conjurors
trick and were constantly being juggled through",F,F,F,True
" the whole set Across
the hall and up the stairs and along the passages and through the
rooms which are very brilliant in the season and very dismal out of
itfairyland to visit but a desert to live inthe old gentleman
is conducted by a Mercury in powder to my Ladys presence

The old gentleman is rusty to look at but is reputed to have made
good thrift out of aristocratic marriage settlements and aristocratic
wills and to be very rich He is surrounded by a mysterious halo of
family confidences of",F,F,F,True
" which he is known to be the silent depository
There are noble mausoleums rooted for centuries in retired glades of
parks among the growing timber and the fern which perhaps hold fewer
noble secrets than walk abroad among men shut up in the breast of
Mr Tulkinghorn He is of what is called the old schoola phrase
generally meaning any school that seems never to have been youngand
wears kneebreeches tied with ribbons and gaiters or stockings One
peculiarity of his black clothes and of his black sto",F,F,F,True
"knew that I can
remember when I was a very little girl indeed I used to say to my
doll when we were alone together Now Dolly I am not clever you
know very well and you must be patient with me like a dear And so
she used to sit propped up in a great armchair with her beautiful
complexion and rosy lips staring at meor not so much at me I
think as at nothingwhile I busily stitched away and told her every
one of my secrets

My dear old doll I was such a shy little thing that I seldom dared
to open m",F,F,F,True
"y lips and never dared to open my heart to anybody else
It almost makes me cry to think what a relief it used to be to me
when I came home from school of a day to run upstairs to my room and
say Oh you dear faithful Dolly I knew you would be expecting me
and then to sit down on the floor leaning on the elbow of her great
chair and tell her all I had noticed since we parted I had always
rather a noticing waynot a quick way oh noa silent way of
noticing what passed before me and thinking I should ",F,F,F,True
"like to
understand it better I have not by any means a quick understanding
When I love a person very tenderly indeed it seems to brighten But
even that may be my vanity

I was brought up from my earliest remembrancelike some of the
princesses in the fairy stories only I was not charmingby my
godmother At least I only knew her as such She was a good good
woman She went to church three times every Sunday and to morning
prayers on Wednesdays and Fridays and to lectures whenever there
were lectures ",F,F,F,True
"and never missed She was handsome and if she had
ever smiled would have been I used to think like an angelbut she
never smiled She was always grave and strict She was so very good
herself I thought that the badness of other people made her frown
all her life I felt so different from her even making every
allowance for the differences between a child and a woman I felt so
poor so trifling and so far off that I never could be unrestrained
with herno could never even love her as I wished It made me",F,F,F,True
" very
sorry to consider how good she was and how unworthy of her I was and
I used ardently to hope that I might have a better heart and I
talked it over very often with the dear old doll but I never loved
my godmother as I ought to have loved her and as I felt I must have
loved her if I had been a better girl

This made me I dare say more timid and retiring than I naturally
was and cast me upon Dolly as the only friend with whom I felt at
ease But something happened when I was still quite a litt",F,F,F,True
"in the first week of my going to the school
I remember it very well invited me home to a little party to my
great joy But my godmother wrote a stiff letter declining for me
and I never went I never went out at all

It was my birthday There were holidays at school on other
birthdaysnone on mine There were rejoicings at home on other
birthdays as I knew from what I heard the girls relate to one
anotherthere were none on mine My birthday was the most melancholy
day at home in the whole year

I have",F,F,F,True
" was greater than you will ever
knowthan any one will ever know but I the sufferer For yourself
unfortunate girl orphaned and degraded from the first of these evil
anniversaries pray daily that the sins of others be not visited upon
your head according to what is written Forget your mother and leave
all other people to forget her who will do her unhappy child that
greatest kindness Now go

She checked me however as I was about to depart from herso frozen
as I wasand added this Submission selfden",F,F,F,True
"to shed these tears as I think of it I am very
thankful I am very cheerful but I cannot quite help their coming to
my eyes

There I have wiped them away now and can go on again properly

I felt the distance between my godmother and myself so much more
after the birthday and felt so sensible of filling a place in her
house which ought to have been empty that I found her more difficult
of approach though I was fervently grateful to her in my heart than
ever I felt in the same way towards my school",F,F,F,True
"
what I say unto you I say unto all Watch

In an instant while she stood before me repeating these words she
fell down on the floor I had no need to cry out her voice had
sounded through the house and been heard in the street

She was laid upon her bed For more than a week she lay there little
altered outwardly with her old handsome resolute frown that I so
well knew carved upon her face Many and many a time in the day and
in the night with my head upon the pillow by her that my whispers
might b",F,F,F,True
"yce he went on makes no condition beyond expressing his
expectation that our young friend will not at any time remove herself
from the establishment in question without his knowledge and
concurrence That she will faithfully apply herself to the
acquisition of those accomplishments upon the exercise of which she
will be ultimately dependent That she will tread in the paths of
virtue and honour andtheaso forth

I was still less able to speak than before

Now what does our young friend say proceede",F,F,F,True
"any emotion at parting but I was
not so good and wept bitterly I thought that I ought to have known
her better after so many years and ought to have made myself enough
of a favourite with her to make her sorry then When she gave me one
cold parting kiss upon my forehead like a thawdrop from the stone
porchit was a very frosty dayI felt so miserable and
selfreproachful that I clung to her and told her it was my fault I
knew that she could say goodbye so easily

No Esther she returned It is your m",F,F,F,True
"d the fields all smooth and white with last nights snow and
the sun so red but yielding so little heat and the ice dark like
metal where the skaters and sliders had brushed the snow away There
was a gentleman in the coach who sat on the opposite seat and looked
very large in a quantity of wrappings but he sat gazing out of the
other window and took no notice of me

I thought of my dead godmother of the night when I read to her of
her frowning so fixedly and sternly in her bed of the strange plac",F,F,F,True
"e
I was going to of the people I should find there and what they
would be like and what they would say to me when a voice in the
coach gave me a terrible start

It said What the devil are you crying for

I was so frightened that I lost my voice and could only answer in a
whisper Me sir For of course I knew it must have been the
gentleman in the quantity of wrappings though he was still looking
out of his window

Yes you he said turning round

I didnt know I was crying sir I faltered

But you are",F,F,F,True
"case from the first As I began to know more I taught more
and so in course of time I had plenty to do which I was very fond of
doing because it made the dear girls fond of me At last whenever a
new pupil came who was a little downcast and unhappy she was so
sureindeed I dont know whyto make a friend of me that all
newcomers were confided to my care They said I was so gentle but I
am sure THEY were I often thought of the resolution I had made on my
birthday to try to be industrious contented and ",F,F,F,True
"truehearted and to
do some good to some one and win some love if I could and indeed
indeed I felt almost ashamed to have done so little and have won so
much

I passed at Greenleaf six happy quiet years I never saw in any face
there thank heaven on my birthday that it would have been better
if I had never been born When the day came round it brought me so
many tokens of affectionate remembrance that my room was beautiful
with them from New Years Day to Christmas

In those six years I had never be",F,F,F,True
"forgotten me to have made my
orphan way so smooth and easy and to have inclined so many youthful
natures towards me that I could hardly bear it Not that I would
have had them less sorryI am afraid not but the pleasure of it
and the pain of it and the pride and joy of it and the humble
regret of it were so blended that my heart seemed almost breaking
while it was full of rapture

The letter gave me only five days notice of my removal When every
minute added to the proofs of love and kindness that",F,F,F,True
"suaded that we were there when we were ten miles off
and when we really were there that we should never get there
However when we began to jolt upon a stone pavement and
particularly when every other conveyance seemed to be running into
us and we seemed to be running into every other conveyance I began
to believe that we really were approaching the end of our journey
Very soon afterwards we stopped

A young gentleman who had inked himself by accident addressed me from
the pavement and said I am ",F,F,F,True
"nge and Carboys The young gentleman showed me through an
outer office into Mr Kenges roomthere was no one in itand
politely put an armchair for me by the fire He then called my
attention to a little lookingglass hanging from a nail on one side
of the chimneypiece

In case you should wish to look at yourself miss after the
journey as youre going before the Chancellor Not that its
requisite I am sure said the young gentleman civilly

Going before the Chancellor I said startled for a moment

Only a",F,F,F,True
"hat
they meant and found myself reading the same words repeatedly As it
was of no use going on in that way I put the paper down took a peep
at my bonnet in the glass to see if it was neat and looked at the
room which was not half lighted and at the shabby dusty tables
and at the piles of writings and at a bookcase full of the most
inexpressivelooking books that ever had anything to say for
themselves Then I went on thinking thinking thinking and the
fire went on burning burning burning and the c",F,F,F,True
" with a latticework of
staylacelike a summerhouse

The room which was strewn with papers and nearly filled by a great
writingtable covered with similar litter was I must say not only
very untidy but very dirty We were obliged to take notice of that
with our sense of sight even while with our sense of hearing we
followed the poor child who had tumbled downstairs I think into the
back kitchen where somebody seemed to stifle him

But what principally struck us was a jaded and unhealthylooking
thoug",F,F,F,True
"hich made the room taste
strongly of hot tallow the fire had gone out and there was nothing
in the grate but ashes a bundle of wood and a poker you find me
my dears as usual very busy but that you will excuse The African
project at present employs my whole time It involves me in
correspondence with public bodies and with private individuals
anxious for the welfare of their species all over the country I am
happy to say it is advancing We hope by this time next year to have
from a hundred and fif",F,F,F,True
"n this afternoon and see me able to do nothing
else It was like your ill nature Yet you think yourselves very
fine I dare say

I could see that the poor girl was near crying and I resumed my
chair without speaking and looked at her I hope as mildly as I felt
towards her

Its disgraceful she said You know it is The whole house is
disgraceful The children are disgraceful IM disgraceful Pas
miserable and no wonder Priscilla drinksshes always drinking
Its a great shame and a great story of you if yo",F,F,F,True
" wish we were all dead It
would be a great deal better for us

In a moment afterwards she knelt on the ground at my side hid her
face in my dress passionately begged my pardon and wept I
comforted her and would have raised her but she cried no no she
wanted to stay there

You used to teach girls she said If you could only have taught
me I could have learnt from you I am so very miserable and I like
you so much

I could not persuade her to sit by me or to do anything but move a
ragged stool to wh",F,F,F,True
"ere she was kneeling and take that and still hold
my dress in the same manner By degrees the poor tired girl fell
asleep and then I contrived to raise her head so that it should rest
on my lap and to cover us both with shawls The fire went out and
all night long she slumbered thus before the ashy grate At first I
was painfully awake and vainly tried to lose myself with my eyes
closed among the scenes of the day At length by slow degrees they
became indistinct and mingled I began to lose the iden",F,F,F,True
"umouring her for a few moments before she
was at home Slipping us out at a little side gate the old lady
stopped most unexpectedly in a narrow back street part of some
courts and lanes immediately outside the wall of the inn and said
This is my lodging Pray walk up

She had stopped at a shop over which was written KROOK RAG AND
BOTTLE WAREHOUSE Also in long thin letters KROOK DEALER IN MARINE
STORES In one part of the window was a picture of a red paper mill
at which a cart was unloading a quant",F,F,F,True
"ity of sacks of old rags In
another was the inscription BONES BOUGHT In another KITCHENSTUFF
BOUGHT In another OLD IRON BOUGHT In another WASTEPAPER BOUGHT
In another LADIES AND GENTLEMENS WARDROBES BOUGHT Everything
seemed to be bought and nothing to be sold there In all parts of the
window were quantities of dirty bottlesblacking bottles medicine
bottles gingerbeer and sodawater bottles pickle bottles wine
bottles ink bottles I am reminded by mentioning the latter that the
shop had in several ",F,F,F,True
"rror

He come in at the door said the old man slowly pointing an
imaginary track along the shop on the day he did itthe whole
neighbourhood had said for months before that he would do it of a
certainty sooner or laterhe come in at the door that day and
walked along there and sat himself on a bench that stood there and
asked me youll judge I was a mortal sight younger then to fetch
him a pint of wine For says he Krook I am much depressed my
cause is on again and I think Im nearer judgment than I ",F,F,F,True
"scarcely less
pale Nor could I wonder judging even from my emotions and I was no
party in the suit that to hearts so untried and fresh it was a shock
to come into the inheritance of a protracted misery attended in the
minds of many people with such dreadful recollections I had another
uneasiness in the application of the painful story to the poor
halfwitted creature who had brought us there but to my surprise
she seemed perfectly unconscious of that and only led the way
upstairs again informing ",F,F,F,True
"ely honoured I am sure said our poor hostess with the
greatest suavity by this visit from the wards in Jarndyce And very
much indebted for the omen It is a retired situation Considering I
am limited as to situation In consequence of the necessity of
attending on the Chancellor I have lived here many years I pass my
days in court my evenings and my nights here I find the nights
long for I sleep but little and think much That is of course
unavoidable being in Chancery I am sorry I cannot offer cho",F,F,F,True
"colate
I expect a judgment shortly and shall then place my establishment on
a superior footing At present I dont mind confessing to the wards
in Jarndyce in strict confidence that I sometimes find it difficult
to keep up a genteel appearance I have felt the cold here I have
felt something sharper than cold It matters very little Pray excuse
the introduction of such mean topics

She partly drew aside the curtain of the long low garret window and
called our attention to a number of birdcages hangi",F,F,F,True
"ng there some
containing several birds There were larks linnets and
goldfinchesI should think at least twenty

I began to keep the little creatures she said with an object
that the wards will readily comprehend With the intention of
restoring them to liberty When my judgment should be given Yees
They die in prison though Their lives poor silly things are so
short in comparison with Chancery proceedings that one by one the
whole collection has died over and over again I doubt do you know
whether ",F,F,F,True
"t her natural cruelty is
sharpened by a jealous fear of their regaining their liberty In
consequence of the judgment I expect being shortly given She is sly
and full of malice I half believe sometimes that she is no cat
but the wolf of the old saying It is so very difficult to keep her
from the door

Some neighbouring bells reminding the poor soul that it was
halfpast nine did more for us in the way of bringing our visit to
an end than we could easily have done for ourselves She hurriedly
took u",F,F,F,True
"p her little bag of documents which she had laid upon the
table on coming in and asked if we were also going into court On
our answering no and that we would on no account detain her she
opened the door to attend us downstairs

With such an omen it is even more necessary than usual that I
should be there before the Chancellor comes in said she for he
might mention my case the first thing I have a presentiment that he
WILL mention it the first thing this morning

She stopped to tell us in a whisp",F,F,F,True
"te
market in search of me and all the other children got up behind the
barouche and fell off and we saw them with great concern scattered
over the surface of Thavies Inn as we rolled out of its precincts




CHAPTER VI

Quite at Home


The day had brightened very much and still brightened as we went
westward We went our way through the sunshine and the fresh air
wondering more and more at the extent of the streets the brilliancy
of the shops the great traffic and the crowds of people whom the
pl",F,F,F,True
"easanter weather seemed to have brought out like manycoloured
flowers By and by we began to leave the wonderful city and to
proceed through suburbs which of themselves would have made a
pretty large town in my eyes and at last we got into a real country
road again with windmills rickyards milestones farmers waggons
scents of old hay swinging signs and horse troughs trees fields
and hedgerows It was delightful to see the green landscape before
us and the immense metropolis behind and when a waggo",F,F,F,True
"mbered to have heard her mother tell when she was a very
little child that he had once done her an act of uncommon generosity
and that on her going to his house to thank him he happened to see
her through a window coming to the door and immediately escaped by
the back gate and was not heard of for three months This discourse
led to a great deal more on the same theme and indeed it lasted us
all day and we talked of scarcely anything else If we did by any
chance diverge into another subject we so",F,F,F,True
"reign taking a
complacent gentleman to heaven in festoons with some difficulty
and a composition in needlework representing fruit a kettle and an
alphabet All the movables from the wardrobes to the chairs and
tables hangings glasses even to the pincushions and scentbottles
on the dressingtables displayed the same quaint variety They
agreed in nothing but their perfect neatness their display of the
whitest linen and their storingup wheresoever the existence of a
drawer small or large rendered it ",F,F,F,True
"respects of a
damaged young man than a wellpreserved elderly one There was an
easy negligence in his manner and even in his dress his hair
carelessly disposed and his neckkerchief loose and flowing as I
have seen artists paint their own portraits which I could not
separate from the idea of a romantic youth who had undergone some
unique process of depreciation It struck me as being not at all like
the manner or appearance of a man who had advanced in life by the
usual road of years cares and expe",F,F,F,True
"rndyce and some other of his good
friends then helped him in quicker or slower succession to several
openings in life but to no purpose for he must confess to two of
the oldest infirmities in the world one was that he had no idea of
time the other that he had no idea of money In consequence of which
he never kept an appointment never could transact any business and
never knew the value of anything Well So he had got on in life and
here he was He was very fond of reading the papers very fond of
m",F,F,F,True
"y you your power of doing what you do It is what I should revel
in myself I dont feel any vulgar gratitude to you I almost feel as
if YOU ought to be grateful to ME for giving you the opportunity of
enjoying the luxury of generosity I know you like it For anything I
can tell I may have come into the world expressly for the purpose of
increasing your stock of happiness I may have been born to be a
benefactor to you by sometimes giving you an opportunity of assisting
me in my little perplexities W",F,F,F,True
"is engaging candour and his genial way
of lightly tossing his own weaknesses about as if he had said I am
a child you know You are designing people compared with me he
really made me consider myself in that light but I am gay and
innocent forget your worldly arts and play with me the effect was
absolutely dazzling

He was so full of feeling too and had such a delicate sentiment for
what was beautiful or tender that he could have won a heart by that
alone In the evening when I was preparing to ma",F,F,F,True
"he mystery of the future
and the little clue afforded to it by the voice of the present seemed
expressed in the whole picture

But it is not to recall this fancy well as I remember it that I
recall the scene First I was not quite unconscious of the contrast
in respect of meaning and intention between the silent look directed
that way and the flow of words that had preceded it Secondly though
Mr Jarndyces glance as he withdrew it rested for but a moment on
me I felt as if in that moment he confid",F,F,F,True
"ent he could not conceal
rather than he would blame the real cause of it or disparage or
depreciate any one We thought this very characteristic of his
eccentric gentleness and of the difference between him and those
petulant people who make the weather and the winds particularly that
unlucky wind which he had chosen for such a different purpose the
stalkinghorses of their splenetic and gloomy humours

Indeed so much affection for him had been added in this one evening
to my gratitude that I hope",F,F,F,True
"ce which the pigeons who live near it and who
love to perch upon its shoulders seem to be always consultingTHEY
may contemplate some mental pictures of fine weather on occasions
and may be better artists at them than the grooms The old roan so
famous for crosscountry work turning his large eyeball to the
grated window near his rack may remember the fresh leaves that
glisten there at other times and the scents that stream in and may
have a fine run with the hounds while the human helper clearing ",F,F,F,True
"n the servants hall or at
the Dedlock Arms or may even beguile the time by improving perhaps
corrupting the pony in the loosebox in the corner

So the mastiff dozing in his kennel in the courtyard with his large
head on his paws may think of the hot sunshine when the shadows of
the stablebuildings tire his patience out by changing and leave him
at one time of the day no broader refuge than the shadow of his own
house where he sits on end panting and growling short and very
much wanting something",F,F,F,True
"lbuildings across the park who have
their restless fits and whose doleful voices when the wind has been
very obstinate have even made it known in the house itselfupstairs
downstairs and in my Ladys chamber They may hunt the whole
countryside while the raindrops are pattering round their
inactivity So the rabbits with their selfbetraying tails frisking
in and out of holes at roots of trees may be lively with ideas of
the breezy days when their ears are blown about or of those seasons
of interest ",F,F,F,True
"iding down the stairs and followed her into the
stall where his own favourite horse stood There he seized her by the
wrist and in a struggle or in a fall or through the horse being
frightened and lashing out she was lamed in the hip and from that
hour began to pine away

The housekeeper has dropped her voice to a little more than a
whisper

She had been a lady of a handsome figure and a noble carriage She
never complained of the change she never spoke to any one of being
crippled or of being in ",F,F,F,True
"pain but day by day she tried to walk upon
the terrace and with the help of the stone balustrade went up and
down up and down up and down in sun and shadow with greater
difficulty every day At last one afternoon her husband to whom she
had never on any persuasion opened her lips since that night
standing at the great south window saw her drop upon the pavement
He hastened down to raise her but she repulsed him as he bent over
her and looking at him fixedly and coldly said I will die here
where I",F,F,F,True
"I had a pleasure in discovering the unknown objects
that had been around me in my sleep At first they were faintly
discernible in the mist and above them the later stars still
glimmered That pale interval over the picture began to enlarge and
fill up so fast that at every new peep I could have found enough
to look at for an hour Imperceptibly my candles became the only
incongruous part of the morning the dark places in my room all
melted away and the day shone bright upon a cheerful landscape
pr",F,F,F,True
"honey on the table and it led him into a discourse about
bees He had no objection to honey he said and I should think he
had not for he seemed to like it but he protested against the
overweening assumptions of bees He didnt at all see why the busy
bee should be proposed as a model to him he supposed the bee liked
to make honey or he wouldnt do itnobody asked him It was not
necessary for the bee to make such a merit of his tastes If every
confectioner went buzzing about the world banging against ",F,F,F,True
"everything
that came in his way and egotistically calling upon everybody to take
notice that he was going to his work and must not be interrupted the
world would be quite an unsupportable place Then after all it was
a ridiculous position to be smoked out of your fortune with brimstone
as soon as you had made it You would have a very mean opinion of a
Manchester man if he spun cotton for no other purpose He must say he
thought a drone the embodiment of a pleasanter and wiser idea The
drone said u",F,F,F,True
" was if the
consequential creature would only let him and not be so conceited
about his honey

He pursued this fancy with the lightest foot over a variety of ground
and made us all merry though again he seemed to have as serious a
meaning in what he said as he was capable of having I left them
still listening to him when I withdrew to attend to my new duties
They had occupied me for some time and I was passing through the
passages on my return with my basket of keys on my arm when Mr
Jarndyce ca",F,F,F,True
"You are not aware of
half my humours yet My dear how you are trembling

I could not help it I tried very hard but being alone with that
benevolent presence and meeting his kind eyes and feeling so happy
and so honoured there and my heart so fullI kissed his hand I
dont know what I said or even that I spoke He was disconcerted and
walked to the window I almost believed with an intention of jumping
out until he turned and I was reassured by seeing in his eyes what
he had gone there to hide He gent",F,F,F,True
"rse I shook my head

I dont know who does he returned The lawyers have twisted it
into such a state of bedevilment that the original merits of the case
have long disappeared from the face of the earth Its about a will
and the trusts under a willor it was once Its about nothing but
costs now We are always appearing and disappearing and swearing
and interrogating and filing and crossfiling and arguing and
sealing and motioning and referring and reporting and revolving
about the Lord Chancellor and",F,F,F,True
"andered
away the legatees under the will are reduced to such a miserable
condition that they would be sufficiently punished if they had
committed an enormous crime in having money left them and the will
itself is made a dead letter All through the deplorable cause
everything that everybody in it except one man knows already is
referred to that only one man who dont know it to find outall
through the deplorable cause everybody must have copies over and
over again of everything that has accumulate",F,F,F,True
" this solicitor instructing and this counsel
appearing for A and that solicitor instructing and that counsel
appearing for B and so on through the whole alphabet like the
history of the apple pie And thus through years and years and
lives and lives everything goes on constantly beginning over and
over again and nothing ever ends And we cant get out of the suit
on any terms for we are made parties to it and MUST BE parties to
it whether we like it or not But it wont do to think of it When
my grea",F,F,F,True
"angle it from its mystification and bring it to a close In the
meantime the place became dilapidated the wind whistled through the
cracked walls the rain fell through the broken roof the weeds
choked the passage to the rotting door When I brought what remained
of him home here the brains seemed to me to have been blown out of
the house too it was so shattered and ruined

He walked a little to and fro after saying this to himself with a
shudder and then looked at me and brightened and came and sa",F,F,F,True
"hope you may not mistake me I am afraid it will be a
disappointment to you to know that I am not clever but it really is
the truth and you would soon find it out if I had not the honesty to
confess it

He did not seem at all disappointed quite the contrary He told me
with a smile all over his face that he knew me very well indeed and
that I was quite clever enough for him

I hope I may turn out so said I but I am much afraid of it
guardian

You are clever enough to be the good little woman of ou",F,F,F,True
"a and me that everybody knew
him who wanted to do anything with anybody elses money It amazed us
when we began to sort his letters and to answer some of them for him
in the growlery of a morning to find how the great object of the
lives of nearly all his correspondents appeared to be to form
themselves into committees for getting in and laying out money The
ladies were as desperate as the gentlemen indeed I think they were
even more so They threw themselves into committees in the most
impassione",F,F,F,True
" really believe from five hundred thousand tracts to an
annuity and from a marble monument to a silver teapot They took a
multitude of titles They were the Women of England the Daughters of
Britain the Sisters of all the cardinal virtues separately the
Females of America the Ladies of a hundred denominations They
appeared to be always excited about canvassing and electing They
seemed to our poor wits and according to their own accounts to be
constantly polling people by tens of thousands yet nev",F,F,F,True
"ore
particularly that I was not sure of my qualifications That I was
inexperienced in the art of adapting my mind to minds very
differently situated and addressing them from suitable points of
view That I had not that delicate knowledge of the heart which must
be essential to such a work That I had much to learn myself before
I could teach others and that I could not confide in my good
intentions alone For these reasons I thought it best to be as useful
as I could and to render what kind service",F,F,F,True
"n fact pledged to
abstain from cakes as well as tobacco so swelled with grief and rage
when we passed a pastrycooks shop that he terrified me by becoming
purple I never underwent so much both in body and mind in the
course of a walk with young people as from these unnaturally
constrained children when they paid me the compliment of being
natural

I was glad when we came to the brickmakers house though it was one
of a cluster of wretched hovels in a brickfield with pigsties close
to the broken wi",F,F,F,True
"ndows and miserable little gardens before the doors
growing nothing but stagnant pools Here and there an old tub was put
to catch the droppings of rainwater from a roof or they were banked
up with mud into a little pond like a large dirtpie At the doors
and windows some men and women lounged or prowled about and took
little notice of us except to laugh to one another or to say
something as we passed about gentlefolks minding their own business
and not troubling their heads and muddying their sho",F,F,F,True
"d question according to customI know what
youre agoing to be up to Well You havent got no occasion to be
up to it Ill save you the trouble Is my daughter awashin Yes
she IS awashin Look at the water Smell it Thats wot we drinks
How do you like it and what do you think of gin instead Ant my
place dirty Yes it is dirtyits natrally dirty and its
natrally onwholesome and weve had five dirty and onwholesome
children as is all dead infants and so much the better for them
and for us besides Have I read",F,F,F,True
"en were flocking about the door Among them and
prominent in some dispute was the father of the little child At a
short distance we passed the young man and the dog in congenial
company The sister was standing laughing and talking with some other
young women at the corner of the row of cottages but she seemed
ashamed and turned away as we went by

We left our escort within sight of the brickmakers dwelling and
proceeded by ourselves When we came to the door we found the woman
who had brought such",F,F,F,True
"d
brought near the miserable bed on which the mother slept No effort
had been made to clean the roomit seemed in its nature almost
hopeless of being clean but the small waxen form from which so much
solemnity diffused itself had been composed afresh and washed and
neatly dressed in some fragments of white linen and on my
handkerchief which still covered the poor baby a little bunch of
sweet herbs had been laid by the same rough scarred hands so
lightly so tenderly

May heaven reward you we said ",F,F,F,True
"ther people and I try to think
about myself as little as possible and I am sure when I find myself
coming into the story again I am really vexed and say Dear dear
you tiresome little creature I wish you wouldnt but it is all of
no use I hope any one who may read what I write will understand that
if these pages contain a great deal about me I can only suppose it
must be because I have really something to do with them and cant be
kept out

My darling and I read together and worked and practised an",F,F,F,True
