Chunks,HasProperNames,Author
"shed with fresh young remembrances too, and even
at the same moment I fell into much the same confused division of mind
between it and the better rooms to which I was going, as I had been in
so often between the forge and Miss Havisham’s, and Biddy and Estella.

The sun had been shining brightly all day on the roof of my attic, and
the room was warm. As I put the window open and stood looking out, I
saw Joe come slowly forth at the dark door, below, and take a turn or
two in the air; and then I ",T,Charles Dickens
"wledge all my life! To see the
horses, dogs, and cattle go by me and to know that in ignorance I
belong to them and not to the superior beings in my shape, whose
delicacy I offend! Jo’s ideas of a criminal trial, or a judge, or a
bishop, or a government, or that inestimable jewel to him (if he only
knew it) the Constitution, should be strange! His whole material and
immaterial life is wonderfully strange; his death, the strangest
thing of all.

Jo comes out of Tom-all-Alone’s, meeting the tardy ",T,Charles Dickens
"e young gentleman was her distant cousin, she told me, and his name
Richard Carstone. He was a handsome youth with an ingenuous face and
a most engaging laugh; and after she had called him up to where we
sat, he stood by us, in the light of the fire, talking gaily, like a
light-hearted boy. He was very young, not more than nineteen then, if
quite so much, but nearly two years older than she was. They were
both orphans and (what was very unexpected and curious to me) had
never met before that day",T,Charles Dickens
"and!”

“Little woman,” said my guardian, “I was thinking—that is, I have
been thinking since I have been sitting here—that you ought to know
of your own history all I know. It is very little. Next to nothing.”

“Dear guardian,” I replied, “when you spoke to me before on that
subject—”

“But since then,” he gravely interposed, anticipating what I meant to
say, “I have reflected that your having anything to ask me, and my
having anything to tell you, are different considerations, Esther. It
is per",T,Charles Dickens
"e had by this time led us across the shop, and now opened a door in
the back part of it, leading to the house-entry. As he stood with his
hand upon the lock, the little old lady graciously observed to him
before passing out, “That will do, Krook. You mean well, but are
tiresome. My young friends are pressed for time. I have none to spare
myself, having to attend court very soon. My young friends are the
wards in Jarndyce.”

“Jarndyce!” said the old man with a start.

“Jarndyce and Jarndyce. The ",T,Charles Dickens
"on’t—simply
can’t.”

“You can’t recommend anything for the boy, I suppose?” said my
guardian, looking back over his shoulder half angrily; only half
angrily, for he never seemed to consider Mr. Skimpole an accountable
being.

“My dear Jarndyce, I observed a bottle of cooling medicine in his
pocket, and it’s impossible for him to do better than take it. You
can tell them to sprinkle a little vinegar about the place where he
sleeps and to keep it moderately cool and him moderately warm. But it
is ",T,Charles Dickens
"with a pale-blue glare.

We came to the cottage, where there was a feeble candle in the
patched window. We tapped at the door and went in. The mother of the
little child who had died was sitting in a chair on one side of the
poor fire by the bed; and opposite to her, a wretched boy, supported
by the chimney-piece, was cowering on the floor. He held under his
arm, like a little bundle, a fragment of a fur cap; and as he tried
to warm himself, he shook until the crazy door and window shook. The
pl",F,Charles Dickens
"ould be idle. I had no claim, and I
finally resolved, and ever afterwards abided by the resolution, that my
heart should never be sickened with the hopeless task of attempting to
establish one.

There appeared to be reason for supposing that the drowned informer had
hoped for a reward out of this forfeiture, and had obtained some
accurate knowledge of Magwitch’s affairs. When his body was found, many
miles from the scene of his death, and so horribly disfigured that he
was only recognisable by t",T,Charles Dickens
"ichard, relapsing into doubt, “if it really is worth-while,
after all, to make such a disturbance about nothing particular!”

This led to our saying again, with a great deal of gravity, all that
we had said already and to our coming to much the same conclusion
afterwards. But we so strongly advised Richard to be frank and open
with Mr. Jarndyce, without a moment’s delay, and his disposition was
naturally so opposed to concealment that he sought him out at once
(taking us with him) and made a ful",T,Charles Dickens
" the sun of his sociality soon recovers from this brief
eclipse and shines again.

“And this is brother, is it, my dears?” says Mr. Bucket, referring to
Quebec and Malta for information on the subject of young Woolwich.
“And a nice brother he is—half-brother I mean to say. For he’s too
old to be your boy, ma’am.”

“I can certify at all events that he is not anybody else’s,” returns
Mrs. Bagnet, laughing.

“Well, you do surprise me! Yet he’s like you, there’s no denying.
Lord, he’s wonderfully li",T,Charles Dickens
" with a folding and jingling barrier
of steps, as if he were going to take me fifty miles. His getting on
his box, which I remember to have been decorated with an old
weather-stained pea-green hammercloth moth-eaten into rags, was quite a
work of time. It was a wonderful equipage, with six great coronets
outside, and ragged things behind for I don’t know how many footmen to
hold on by, and a harrow below them, to prevent amateur footmen from
yielding to the temptation.

I had scarcely had time t",F,Charles Dickens
"best-born
gentleman. In such a light both aspire alike, both rise alike, both
children of the dust shine equally.

Overpowered by his exertions, he lays his head back on his pillows
and closes his eyes for not more than a minute, when he again resumes
his watching of the weather and his attention to the muffled sounds.
In the rendering of those little services, and in the manner of their
acceptance, the trooper has become installed as necessary to him.
Nothing has been said, but it is quite unde",F,Charles Dickens
"or two, I’ll hold a wager. Not
bad quarters, either,” says Mr. George, looking round again. “See the
strong-box yonder!”

This reply is cut short by Mr. Tulkinghorn’s arrival. There is no
change in him, of course. Rustily drest, with his spectacles in his
hand, and their very case worn threadbare. In manner, close and dry.
In voice, husky and low. In face, watchful behind a blind; habitually
not uncensorious and contemptuous perhaps. The peerage may have
warmer worshippers and faithfuller believ",T,Charles Dickens
"

        *****

They said of him, about the city that night, that it was the
peacefullest man’s face ever beheld there. Many added that he looked
sublime and prophetic.

One of the most remarkable sufferers by the same axe--a woman--had asked
at the foot of the same scaffold, not long before, to be allowed to
write down the thoughts that were inspiring her. If he had given any
utterance to his, and they were prophetic, they would have been these:

“I see Barsad, and Cly, Defarge, The Vengeance,",T,Charles Dickens
"d himself by playing snatches of pathetic
airs and sometimes singing to them (as we heard at a distance) with
great expression and feeling. When we rejoined him in the
drawing-room he said he would give us a little ballad which had come
into his head “apropos of our young friend,” and he sang one about a
peasant boy,

   “Thrown on the wide world, doomed to wander and roam,
    Bereft of his parents, bereft of a home.”

quite exquisitely. It was a song that always made him cry, he told
us.

He w",T,Charles Dickens
"oks and methods and all my fidgety ways. You would have
supposed that I was showing her some wonderful inventions, by her
study of them; and if you had seen her, whenever I jingled my
housekeeping keys, get up and attend me, certainly you might have
thought that there never was a greater imposter than I with a blinder
follower than Caddy Jellyby.

So what with working and housekeeping, and lessons to Charley, and
backgammon in the evening with my guardian, and duets with Ada, the
three weeks sli",T,Charles Dickens
"array of equipment including outdated equipment. Many small donations
($1 to $5,000) are particularly important to maintaining tax exempt
status with the IRS.

The Foundation is committed to complying with the laws regulating
charities and charitable donations in all 50 states of the United
States. Compliance requirements are not uniform and it takes a
considerable effort, much paperwork and many fees to meet and keep up
with these requirements. We do not solicit donations in locations
where we ",F,Charles Dickens
"f to whistle one, accompanied on the table with the
empty pipe.

“Tune!” replied the old man. “No. We never have tunes here.”

“That’s the Dead March in Saul. They bury soldiers to it,
so it’s the natural end of the subject. Now, if your pretty
granddaughter—excuse me, miss—will condescend to take care of this
pipe for two months, we shall save the cost of one next time. Good
evening, Mr. Smallweed!”

“My dear friend!” the old man gives him both his hands.

“So you think your friend in the city ",T,Charles Dickens
"if the fire-grate had been the furnace in which sustained endeavour
was forged, and the one delicate thing to be done for the old Sydney
Carton of old Shrewsbury School was to shoulder him into it, “your way
is, and always was, a lame way. You summon no energy and purpose. Look
at me.”

“Oh, botheration!” returned Sydney, with a lighter and more
good-humoured laugh, “don’t _you_ be moral!”

“How have I done what I have done?” said Stryver; “how do I do what I
do?”

“Partly through paying me to h",T,Charles Dickens
" Clem! Blow the
fire, blow the fire—Old Clem! Roaring dryer, soaring higher—Old Clem!
One day soon after the appearance of the chair, Miss Havisham suddenly
saying to me, with the impatient movement of her fingers, “There,
there, there! Sing!” I was surprised into crooning this ditty as I
pushed her over the floor. It happened so to catch her fancy that she
took it up in a low brooding voice as if she were singing in her sleep.
After that, it became customary with us to have it as we moved about",T,Charles Dickens
" interested in what she has often heard, begins to collect
in a basin various tributary streams of tea, from the bottoms of cups
and saucers and from the bottom of the tea-pot for the little
charwoman’s evening meal. In like manner she gets together, in the
iron bread-basket, as many outside fragments and worn-down heels of
loaves as the rigid economy of the house has left in existence.

“But your father and me were partners, Bart,” says the old gentleman,
“and when I am gone, you and Judy will ",T,Charles Dickens
"ly, though he has not loved you as long, as I. Take him, and I can
bear it better, for your sake!”

My earnestness awoke a wonder in her that seemed as if it would have
been touched with compassion, if she could have rendered me at all
intelligible to her own mind.

“I am going,” she said again, in a gentler voice, “to be married to
him. The preparations for my marriage are making, and I shall be
married soon. Why do you injuriously introduce the name of my mother by
adoption? It is my own act.”",F,Charles Dickens
" Herbert, “and be
calm.”

The allusion made me spring up; though I dropped again from the pain in
my arm. “The time has not gone by, Herbert, has it? What night is
to-night? How long have I been here?” For, I had a strange and strong
misgiving that I had been lying there a long time—a day and a
night,—two days and nights,—more.

“The time has not gone by. It is still Monday night.”

“Thank God!”

“And you have all to-morrow, Tuesday, to rest in,” said Herbert. “But
you can’t help groaning, my de",T,Charles Dickens
"t it, having a very tender mind of
your own.”

“Eh? What do you say I have got of my own?” asked Mr. Smallweed with
his hand to his ear.

“A very tender mind.”

“Ho! Well, go on,” said Mr. Smallweed.

“And as you’ve heard a good deal mentioned regarding a celebrated
Chancery will case of the same name, and as you know what a card
Krook was for buying all manner of old pieces of furniter, and books,
and papers, and what not, and never liking to part with ’em, and
always a-going to teach himself t",T,Charles Dickens
"ers have taken great
offence,” he explained to us, “at an honest man—”

“Not honest, papa. Impossible!” they all three protested.

“At a rough kind of fellow—a sort of human hedgehog rolled up,” said
Mr. Skimpole, “who is a baker in this neighbourhood and from whom we
borrowed a couple of arm-chairs. We wanted a couple of arm-chairs,
and we hadn’t got them, and therefore of course we looked to a man
who HAD got them, to lend them. Well! This morose person lent them,
and we wore them out. When th",T,Charles Dickens
"g in the world to
desire.”

I felt as if he had greater commiseration for me than I had ever had
for myself. It inspired me with new fortitude and new calmness to
find that it was I who was under the necessity of reassuring him. I
spoke to him of his voyage out and home, and of his future plans, and
of his probable return to India. He said that was very doubtful. He
had not found himself more favoured by fortune there than here. He
had gone out a poor ship’s surgeon and had come home nothing bet",F,Charles Dickens
"Capital in the distance, rather
clearly, after dinner; that he all but realised Capital towards
midnight; and that at about two o’clock in the morning, he became so
deeply despondent again as to talk of buying a rifle and going to
America, with a general purpose of compelling buffaloes to make his
fortune.

I was usually at Hammersmith about half the week, and when I was at
Hammersmith I haunted Richmond, whereof separately by and by. Herbert
would often come to Hammersmith when I was there, and",T,Charles Dickens
"nigh the time of the
murder, also as having been overheard in high words with the deceased
on former occasions—even threatening him, as the witness made out.
If you ask me, Sir Leicester Dedlock, whether from the first I
believed George to be the murderer, I tell you candidly no, but he
might be, notwithstanding, and there was enough against him to make
it my duty to take him and get him kept under remand. Now, observe!”

As Mr. Bucket bends forward in some excitement—for him—and
inaugurates wha",T,Charles Dickens
"th, “call out again, and
I’ll make short work of you!”

Faint and sick with the pain of my injured arm, bewildered by the
surprise, and yet conscious how easily this threat could be put in
execution, I desisted, and tried to ease my arm were it ever so little.
But, it was bound too tight for that. I felt as if, having been burnt
before, it were now being boiled.

The sudden exclusion of the night, and the substitution of black
darkness in its place, warned me that the man had closed a shutter.
A",T,Charles Dickens
"ly known
little momentary glimpses of my own old face to look out upon me from
the glass. His laugh had not quite left him either, but it was like
the echo of a joyful sound, and that is always sorrowful.

Yet he was as glad as ever, in his old affectionate way, to have me
there, and we talked of the old times pleasantly. These did not
appear to be interesting to Mr. Vholes, though he occasionally made a
gasp which I believe was his smile. He rose shortly after dinner and
said that with the perm",T,Charles Dickens
") with a bright flush on her face. “Would
you believe it? Got an engagement at the theayter, with his father,
to play the fife in a military piece.”

“Well done, my godson!” cries Mr. George, slapping his thigh.

“I believe you!” says Mrs. Bagnet. “He’s a Briton. That’s what
Woolwich is. A Briton!”

“And Mat blows away at his bassoon, and you’re respectable civilians
one and all,” says Mr. George. “Family people. Children growing up.
Mat’s old mother in Scotland, and your old father somewhere el",T,Charles Dickens
"close at hand. We had often noticed the dark beauty
of this lodge standing in a deep twilight of trees, and how the ivy
clustered over it, and how there was a steep hollow near, where we
had once seen the keeper’s dog dive down into the fern as if it were
water.

The lodge was so dark within, now the sky was overcast, that we only
clearly saw the man who came to the door when we took shelter there
and put two chairs for Ada and me. The lattice-windows were all
thrown open, and we sat just within",T,Charles Dickens
"Shadow


One of the first considerations which arose in the business mind of Mr.
Lorry when business hours came round, was this:--that he had no right to
imperil Tellson’s by sheltering the wife of an emigrant prisoner under
the Bank roof. His own possessions, safety, life, he would have hazarded
for Lucie and her child, without a moment’s demur; but the great trust
he held was not his own, and as to that business charge he was a strict
man of business.

At first, his mind reverted to Defarge, a",T,Charles Dickens
"stant height is of a piece with his immense abilities.
That Colonel durst no more take leave of _him_, than that turnkey durst
ask him his intentions respecting a case. Then, between his height and
them, he slips in his subordinate,—don’t you see?—and so he has ’em,
soul and body.”

I was very much impressed, and not for the first time, by my guardian’s
subtlety. To confess the truth, I very heartily wished, and not for the
first time, that I had had some other guardian of minor abilities.

Mr. ",F,Charles Dickens
"n
advance, and greatly facilitate its progress during the precious hours
of the night, when delay was the most to be dreaded.

Seeing in this arrangement the hope of rendering real service in that
pressing emergency, Miss Pross hailed it with joy. She and Jerry had
beheld the coach start, had known who it was that Solomon brought, had
passed some ten minutes in tortures of suspense, and were now concluding
their arrangements to follow the coach, even as Madame Defarge,
taking her way through the",T,Charles Dickens
"ches on to terrify commoners as the
chiefs of some other tribes put on their war-paint. There was a Sir
Somebody Dedlock, with a battle, a sprung-mine, volumes of smoke,
flashes of lightning, a town on fire, and a stormed fort, all in full
action between his horse’s two hind legs, showing, he supposed, how
little a Dedlock made of such trifles. The whole race he represented
as having evidently been, in life, what he called “stuffed people”—a
large collection, glassy eyed, set up in the most appr",F,Charles Dickens
" her head
as if there were nothing absent.

“Are the pictures all as they used to be?” I asked her.

“Every one of them, miss,” said Charley.

“And the furniture, Charley?”

“Except where I have moved it about to make more room, miss.”

“And yet,” said I, “I miss some familiar object. Ah, I know what it
is, Charley! It’s the looking-glass.”

Charley got up from the table, making as if she had forgotten
something, and went into the next room; and I heard her sob there.

I had thought of this very",T,Charles Dickens
"entleman, would seem, in these days, a ridiculous exaggeration.
The learned profession of the law was certainly not behind any other
learned profession in its Bacchanalian propensities; neither was Mr.
Stryver, already fast shouldering his way to a large and lucrative
practice, behind his compeers in this particular, any more than in the
drier parts of the legal race.

A favourite at the Old Bailey, and eke at the Sessions, Mr. Stryver had
begun cautiously to hew away the lower staves of the lad",T,Charles Dickens
"ily understand,” said he.

He spoke in a regretful tone so new to me that I inwardly repeated,
as if that would help me to his meaning, “That I could readily
understand!”

“Remain a moment, Esther,” said he, “You were in my thoughts.”

“I hope I was not the trouble, guardian?”

He slightly waved his hand and fell into his usual manner. The change
was so remarkable, and he appeared to make it by dint of so much
self-command, that I found myself again inwardly repeating, “None
that I could underst",T,Charles Dickens
"be even that,—and I laid my head on Joe’s shoulder, as I had laid it
long ago when he had taken me to the Fair or where not, and it was too
much for my young senses.

More composure came to me after a while, and we talked as we used to
talk, lying on the grass at the old Battery. There was no change
whatever in Joe. Exactly what he had been in my eyes then, he was in my
eyes still; just as simply faithful, and as simply right.

When we got back again, and he lifted me out, and carried me—so
easi",T,Charles Dickens
"on before going to bed. But he
happens not to be in a business mind. After a glance at the documents
awaiting his notice—with his head bent low over the table, the old
man’s sight for print or writing being defective at night—he opens
the French window and steps out upon the leads. There he again walks
slowly up and down in the same attitude, subsiding, if a man so cool
may have any need to subside, from the story he has related
downstairs.

The time was once when men as knowing as Mr. Tulkingho",T,Charles Dickens
"ay about the captain, and my
opinion still is that the captain is not dead.”

“Bosh!” observes Mr. George.

“What was your remark, my dear friend?” inquires the old man with his
hand to his ear.

“Bosh!”

“Ho!” says Grandfather Smallweed. “Mr. George, of my opinion you can
judge for yourself according to the questions asked of me and the
reasons given for asking ’em. Now, what do you think the lawyer
making the inquiries wants?”

“A job,” says Mr. George.

“Nothing of the kind!”

“Can’t be a law",T,Charles Dickens
", Pip.”

He had taken up the poker again; without which, I doubt if he could
have proceeded in his demonstration.

“Your sister is given to government.”

“Given to government, Joe?” I was startled, for I had some shadowy idea
(and I am afraid I must add, hope) that Joe had divorced her in a
favour of the Lords of the Admiralty, or Treasury.

“Given to government,” said Joe. “Which I meantersay the government of
you and myself.”

“Oh!”

“And she an’t over partial to having scholars on the premise",T,Charles Dickens
" his daughter’s husband, and deliver him.
“It all tended to a good end, my friend; it was not mere waste and ruin.
As my beloved child was helpful in restoring me to myself, I will be
helpful now in restoring the dearest part of herself to her; by the aid
of Heaven I will do it!” Thus, Doctor Manette. And when Jarvis Lorry saw
the kindled eyes, the resolute face, the calm strong look and bearing
of the man whose life always seemed to him to have been stopped, like a
clock, for so many years, and",T,Charles Dickens
"urned no reply, but it was evident that he heard what was said, and
that he thought about it, however confusedly. This encouraged Mr. Lorry
to have Miss Pross in with her work, several times during the day;
at those times, they quietly spoke of Lucie, and of her father then
present, precisely in the usual manner, and as if there were nothing
amiss. This was done without any demonstrative accompaniment, not long
enough, or often enough to harass him; and it lightened Mr. Lorry’s
friendly heart to",T,Charles Dickens
" awaited
their fate. They were in number as the weeks of the year. Fifty-two were
to roll that afternoon on the life-tide of the city to the boundless
everlasting sea. Before their cells were quit of them, new occupants
were appointed; before their blood ran into the blood spilled yesterday,
the blood that was to mingle with theirs to-morrow was already set
apart.

Two score and twelve were told off. From the farmer-general of seventy,
whose riches could not buy his life, to the seamstress of tw",F,Charles Dickens
"a red cap he wore, and looked
around him! “Listen, everywhere!” said madame again. “Listen to him!”
 Defarge stood, panting, against a background of eager eyes and open
mouths, formed outside the door; all those within the wine-shop had
sprung to their feet.

“Say then, my husband. What is it?”

“News from the other world!”

“How, then?” cried madame, contemptuously. “The other world?”

“Does everybody here recall old Foulon, who told the famished people
that they might eat grass, and who died, ",T,Charles Dickens
"yer, then,” says Mr. George, folding his arms with an
air of confirmed resolution.

“My dear friend, he is a lawyer, and a famous one. He wants to see
some fragment in Captain Hawdon’s writing. He don’t want to keep it.
He only wants to see it and compare it with a writing in his
possession.”

“Well?”

“Well, Mr. George. Happening to remember the advertisement concerning
Captain Hawdon and any information that could be given respecting
him, he looked it up and came to me—just as you did, my dear",T,Charles Dickens
". Pocket laughed and said, “Thank you, Flopson,” and settling
herself in one chair only, resumed her book. Her countenance
immediately assumed a knitted and intent expression as if she had been
reading for a week, but before she could have read half a dozen lines,
she fixed her eyes upon me, and said, “I hope your mamma is quite
well?” This unexpected inquiry put me into such a difficulty that I
began saying in the absurdest way that if there had been any such
person I had no doubt she would hav",T,Charles Dickens
" his eyes
met mine. “It’s a desperate sharp night for a young lady to be out
in.”

I told him I cared for no weather and was warmly clothed.

“It may be a long job,” he observed; “but so that it ends well, never
mind, miss.”

“I pray to heaven it may end well!” said I.

He nodded comfortingly. “You see, whatever you do, don’t you go and
fret yourself. You keep yourself cool and equal for anything that may
happen, and it’ll be the better for you, the better for me, the
better for Lady Dedlock, an",T,Charles Dickens
"y suitor?” returned my guardian. “How was that?”

“Why, the man was so badgered and worried and tortured by being
knocked about from post to pillar, and from pillar to post,” said Mr.
George, “that he got out of sorts. I don’t believe he had any idea of
taking aim at anybody, but he was in that condition of resentment and
violence that he would come and pay for fifty shots and fire away
till he was red hot. One day I said to him when there was nobody by
and he had been talking to me angrily abou",T,Charles Dickens
"is not smothered yet.

“If you have come to give me a friendly call,” continues Mr. George,
“I am obliged to you; how are you? If you have come to see whether
there’s any property on the premises, look about you; you are
welcome. If you want to out with something, out with it!”

The blooming Judy, without removing her gaze from the fire, gives her
grandfather one ghostly poke.

“You see! It’s her opinion too. And why the devil that young woman
won’t sit down like a Christian,” says Mr. George wi",T,Charles Dickens
"im—to come to breakfast.

By and by, his door opened and he came out. I could not bring myself to
bear the sight of him, and I thought he had a worse look by daylight.

“I do not even know,” said I, speaking low as he took his seat at the
table, “by what name to call you. I have given out that you are my
uncle.”

“That’s it, dear boy! Call me uncle.”

“You assumed some name, I suppose, on board ship?”

“Yes, dear boy. I took the name of Provis.”

“Do you mean to keep that name?”

“Why, yes, dear",T,Charles Dickens
"lornly and
despondently, “but it couldn’t be. Now COULD it, you know! I only put
it to you.”

I replied it certainly could not. The subject did not admit of a
doubt. He thanked me and ran to his mother’s again—and back again.

“It’s very honourable of you, miss, I am sure,” said Mr. Guppy. “If
an altar could be erected in the bowers of friendship—but, upon my
soul, you may rely upon me in every respect save and except the
tender passion only!”

The struggle in Mr. Guppy’s breast and the numerous",T,Charles Dickens
"five-and-twenty, well-grown and well-looking, with a sunburnt cheek and
a dark eye. His condition was that of a young gentleman. He was plainly
dressed in black, or very dark grey, and his hair, which was long and
dark, was gathered in a ribbon at the back of his neck; more to be out
of his way than for ornament. As an emotion of the mind will express
itself through any covering of the body, so the paleness which his
situation engendered came through the brown upon his cheek, showing the
soul to",F,Charles Dickens
"ss her and her husband!”
But just as my first impulse had been to pity her, so was his. “Poor
girl, poor girl! Poor Rick! Poor Ada!”

Neither of us spoke after that, until he said with a sigh, “Well,
well, my dear! Bleak House is thinning fast.”

“But its mistress remains, guardian.” Though I was timid about saying
it, I ventured because of the sorrowful tone in which he had spoken.
“She will do all she can to make it happy,” said I.

“She will succeed, my love!”

The letter had made no differen",T,Charles Dickens
"ion.

But when they set out for the prison where the trooper is
confined, the old lady has managed to draw about her, with her
lavender-coloured dress, much of the staid calmness which is its
usual accompaniment. A wonderfully grave, precise, and handsome piece
of old china she looks, though her heart beats fast and her stomacher
is ruffled more than even the remembrance of this wayward son has
ruffled it these many years.

Approaching the cell, they find the door opening and a warder in the
act",F,Charles Dickens
"it yourself,” said Mr. Jaggers, “and don’t commit any one.
You understand—any one. Don’t tell me anything: I don’t want to know
anything; I am not curious.”

Of course I saw that he knew the man was come.

“I merely want, Mr. Jaggers,” said I, “to assure myself that what I
have been told is true. I have no hope of its being untrue, but at
least I may verify it.”

Mr. Jaggers nodded. “But did you say ‘told’ or ‘informed’?” he asked
me, with his head on one side, and not looking at me, but looking",T,Charles Dickens
"r foaled.

At length the new postilions are in their saddles, and the old are left
behind. We are through the village, up the hill, and down the hill, and
on the low watery grounds. Suddenly, the postilions exchange speech with
animated gesticulation, and the horses are pulled up, almost on their
haunches. We are pursued?

“Ho! Within the carriage there. Speak then!”

“What is it?” asks Mr. Lorry, looking out at window.

“How many did they say?”

“I do not understand you.”

“--At the last post. ",T,Charles Dickens
"ed me for
noticing that Mr. Pumblechook appeared to conduct his business by
looking across the street at the saddler, who appeared to transact
_his_ business by keeping his eye on the coachmaker, who appeared to
get on in life by putting his hands in his pockets and contemplating
the baker, who in his turn folded his arms and stared at the grocer,
who stood at his door and yawned at the chemist. The watchmaker, always
poring over a little desk with a magnifying-glass at his eye, and
always inspe",T,Charles Dickens
" question whether Miss Havisham
intended me for Estella, fell asleep.

When I awoke, I was much surprised to find Joe sitting beside me,
smoking his pipe. He greeted me with a cheerful smile on my opening my
eyes, and said,—

“As being the last time, Pip, I thought I’d foller.”

“And Joe, I am very glad you did so.”

“Thankee, Pip.”

“You may be sure, dear Joe,” I went on, after we had shaken hands,
“that I shall never forget you.”

“No, no, Pip!” said Joe, in a comfortable tone, “_I_’m sure of ",T,Charles Dickens
"dame, nodding firmly; “but my dear! You are
faint of heart to-night, my dear!”

“Well, then,” said Defarge, as if a thought were wrung out of his
breast, “it _is_ a long time.”

“It is a long time,” repeated his wife; “and when is it not a long time?
Vengeance and retribution require a long time; it is the rule.”

“It does not take a long time to strike a man with Lightning,” said
Defarge.

“How long,” demanded madame, composedly, “does it take to make and store
the lightning? Tell me.”

Defarge",T,Charles Dickens
"em shut, until I heard that he was absent, and I
thought that would be the best time for making the attempt. I can only
suppose now, that it was a part of his policy, as a very clever man,
habitually to deceive his own instruments. You don’t blame me, I hope,
Mr. Pip? I am sure I tried to serve you, with all my heart.”

“I am as sure of that, Wemmick, as you can be, and I thank you most
earnestly for all your interest and friendship.”

“Thank you, thank you very much. It’s a bad job,” said Wemmi",T,Charles Dickens
"hought how the same feeling had come back when I
saw a face looking at me, and a hand waving to me from a stage-coach
window; and how it had come back again and had flashed about me like
lightning, when I had passed in a carriage—not alone—through a sudden
glare of light in a dark street. I thought how one link of association
had helped that identification in the theatre, and how such a link,
wanting before, had been riveted for me now, when I had passed by a
chance swift from Estella’s name to ",T,Charles Dickens
